"category";"params";"param1";"url";"name";"linkInDetail";"linkInCategory";"metaTagTitle";"metaTagDescription";"topDescription";"bottomDescription";
"IV RS NX (20- )";"Typ motoru";"2.0 TFSI EA113 (125 - 147 kW / Benzín)";"2-0-tfsi-ea113--125-147-kw-benzin--5";"2.0 TFSI EA113 (125 - 147 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"1.9 TDI PD (96 kW / Diesel)";"1-9-tdi-pd--96-kw-diesel-5";"1.9 TDI PD (96 kW / Diesel)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"1.9 TDI PD (110 - 118 kW / Diesel)";"1-9-tdi-pd--110-118-kw-diesel--5";"1.9 TDI PD (110 - 118 kW / Diesel)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"1.8T 20V (110 - 140 kW / Benzín)";"1-8t-20v--110-140-kw-benzin--5";"1.8T 20V (110 - 140 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"3.2 VR6 (184 kW / Benzín)";"3-2-vr6--184-kw-benzin-5";"3.2 VR6 (184 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TFSI EA113 K04 (169 - 206 kW / Benzín)";"2-0-tfsi-ea113-k04--169-206-kw-benzin--5";"2.0 TFSI EA113 K04 (169 - 206 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"1.8 TSI (118 kW / Benzín)";"1-8-tsi--118-kw-benzin-5";"1.8 TSI (118 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"3.0 TDI  (177 kW / Diesel)";"3-0-tdi-177-kw-diesel-5";"3.0 TDI  (177 kW / Diesel)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"3.0 TFSI (245 kW / Benzín)";"3-0-tfsi--245-kw-benzin-5";"3.0 TFSI (245 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"3.0 TFSI (220 - 228 kW / Benzín)";"3-0-tfsi--220-228-kw-benzin--5";"3.0 TFSI (220 - 228 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"3.0 TFSI (200 kW / Benzín)";"3-0-tfsi--200-kw-benzin-5";"3.0 TFSI (200 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TSI EA888.3 IS38 (221 kW / Benzín) GPF s filtrom pevných častíc";"2-0-tsi-ea888-3-is38--221-kw-benzin--gpf-s-filtrom-pevnych-castic-5";"2.0 TSI EA888.3 IS38 (221 kW / Benzín) GPF s filtrom pevných častíc";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TSI EA888.3 IS38 (213 kW / Benzín) GPF s filtrom pevných častíc";"2-0-tsi-ea888-3-is38--213-kw-benzin--gpf-s-filtrom-pevnych-castic-5";"2.0 TSI EA888.3 IS38 (213 kW / Benzín) GPF s filtrom pevných častíc";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TSI EA888.3 IS38 (200 kW / Benzín) GPF s filtrom pevných častíc";"2-0-tsi-ea888-3-is38--200-kw-benzin--gpf-s-filtrom-pevnych-castic-5";"2.0 TSI EA888.3 IS38 (200 kW / Benzín) GPF s filtrom pevných častíc";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TSI EA888.3 IS38 (195 - 230 kW / Benzín)";"2-0-tsi-ea888-3-is38--195-230-kw-benzin--5";"2.0 TSI EA888.3 IS38 (195 - 230 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TDI PD (125 kW / Diesel)";"2-0-tdi-pd--125-kw-diesel-5";"2.0 TDI PD (125 kW / Diesel)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TDI PD (103 kW / Diesel)";"2-0-tdi-pd--103-kw-diesel-5";"2.0 TDI PD (103 kW / Diesel)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TDI CR (130 kW / Diesel)";"2-0-tdi-cr--130-kw-diesel-5";"2.0 TDI CR (130 kW / Diesel)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TDI CR (125 kW / Diesel)";"2-0-tdi-cr--125-kw-diesel-5";"2.0 TDI CR (125 kW / Diesel)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TDI CR (103 kW / Diesel)";"2-0-tdi-cr--103-kw-diesel-5";"2.0 TDI CR (103 kW / Diesel)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TSI EA888.3 IS20 (162 - 169 kW / Benzín)";"2-0-tsi-ea888-3-is20--162-169-kw-benzin--5";"2.0 TSI EA888.3 IS20 (162 - 169 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TSI EA888.3 (180 kW / Benzín) GPF s filtrom pevných častíc";"2-0-tsi-ea888-3--180-kw-benzin--gpf-s-filtrom-pevnych-castic-5";"2.0 TSI EA888.3 (180 kW / Benzín) GPF s filtrom pevných častíc";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"1.8 TSI  (132 kW / Benzín)";"1-8-tsi-132-kw-benzin-5";"1.8 TSI  (132 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TSI EA888.3 (180 kW / Benzín)";"2-0-tsi-ea888-3--180-kw-benzin-5";"2.0 TSI EA888.3 (180 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"4.2 FSI  (309 kW / Benzín)";"4-2-fsi-309-kw-benzin-5";"4.2 FSI  (309 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"4.2 FSI (331 kW / Benzín)";"4-2-fsi--331-kw-benzin-5";"4.2 FSI (331 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TSI EA888.4B (150 kW / Benzín) GPF s filtrom pevných častíc";"2-0-tsi-ea888-4b--150-kw-benzin--gpf-s-filtrom-pevnych-castic-5";"2.0 TSI EA888.4B (150 kW / Benzín) GPF s filtrom pevných častíc";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TSI EA888.4B (140 kW / Benzín) GPF s filtrom pevných častíc";"2-0-tsi-ea888-4b--140-kw-benzin--gpf-s-filtrom-pevnych-castic-5";"2.0 TSI EA888.4B (140 kW / Benzín) GPF s filtrom pevných častíc";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TSI EA888.4 Garrett (195 kW / Benzín) GPF s filtrom pevných častíc";"2-0-tsi-ea888-4-garrett--195-kw-benzin--gpf-s-filtrom-pevnych-castic-5";"2.0 TSI EA888.4 Garrett (195 kW / Benzín) GPF s filtrom pevných častíc";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TSI EA888.4 Garrett (180 kW / Benzín) GPF s filtrom pevných častíc";"2-0-tsi-ea888-4-garrett--180-kw-benzin--gpf-s-filtrom-pevnych-castic-5";"2.0 TSI EA888.4 Garrett (180 kW / Benzín) GPF s filtrom pevných častíc";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TSI EA888.4 Continental (235 kW / Benzín) GPF s filtrom pevných častíc";"2-0-tsi-ea888-4-continental--235-kw-benzin--gpf-s-filtrom-pevnych-castic-5";"2.0 TSI EA888.4 Continental (235 kW / Benzín) GPF s filtrom pevných častíc";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TSI EA888.4 Continental (245 kW / Benzín) GPF s filtrom pevných častíc";"2-0-tsi-ea888-4-continental--245-kw-benzin--gpf-s-filtrom-pevnych-castic-5";"2.0 TSI EA888.4 Continental (245 kW / Benzín) GPF s filtrom pevných častíc";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TSI EA888.4 Continental (228 kW / Benzín) GPF s filtrom pevných častíc";"2-0-tsi-ea888-4-continental--228-kw-benzin--gpf-s-filtrom-pevnych-castic-5";"2.0 TSI EA888.4 Continental (228 kW / Benzín) GPF s filtrom pevných častíc";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TSI EA888.4 Continental (221 kW / Benzín) GPF s filtrom pevných častíc";"2-0-tsi-ea888-4-continental--221-kw-benzin--gpf-s-filtrom-pevnych-castic-5";"2.0 TSI EA888.4 Continental (221 kW / Benzín) GPF s filtrom pevných častíc";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TSI EA888.4 Continental (206 kW / Benzín) GPF s filtrom pevných častíc";"2-0-tsi-ea888-4-continental--206-kw-benzin--gpf-s-filtrom-pevnych-castic-5";"2.0 TSI EA888.4 Continental (206 kW / Benzín) GPF s filtrom pevných častíc";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TSI EA888.3B (140 kW / Benzín) GPF s filtrom pevných častíc";"2-0-tsi-ea888-3b--140-kw-benzin--gpf-s-filtrom-pevnych-castic-5";"2.0 TSI EA888.3B (140 kW / Benzín) GPF s filtrom pevných častíc";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TSI EA888.3 (140 kW / Benzín) GPF s filtrom pevných častíc";"2-0-tsi-ea888-3--140-kw-benzin--gpf-s-filtrom-pevnych-castic-5";"2.0 TSI EA888.3 (140 kW / Benzín) GPF s filtrom pevných častíc";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TDI EVO (90 kW / Diesel)";"2-0-tdi-evo--90-kw-diesel-5";"2.0 TDI EVO (90 kW / Diesel)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TSI EA888.3 (140 kW / Benzín)";"2-0-tsi-ea888-3--140-kw-benzin-5";"2.0 TSI EA888.3 (140 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TDI EVO (147 kW / Diesel)";"2-0-tdi-evo--147-kw-diesel-5";"2.0 TDI EVO (147 kW / Diesel)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TDI CR (135 kW / Diesel)";"2-0-tdi-cr--135-kw-diesel-5";"2.0 TDI CR (135 kW / Diesel)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TDI EVO (85 kW / Diesel)";"2-0-tdi-evo--85-kw-diesel-5";"2.0 TDI EVO (85 kW / Diesel)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TDI EVO (110 kW / Diesel)";"2-0-tdi-evo--110-kw-diesel-5";"2.0 TDI EVO (110 kW / Diesel)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TDI CR (110 kW / Diesel)";"2-0-tdi-cr--110-kw-diesel-5";"2.0 TDI CR (110 kW / Diesel)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"1.8 TSI (142 kW / Benzín)";"1-8-tsi--142-kw-benzin-5";"1.8 TSI (142 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.5 TFSI (250 - 265 kW / Benzín)";"2-5-tfsi--250-265-kw-benzin--5";"2.5 TFSI (250 - 265 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.5 TFSI EVO (294 kW / Benzín)";"2-5-tfsi-evo--294-kw-benzin-5";"2.5 TFSI EVO (294 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.5 TFSI EVO (294 kW / Benzín) GPF s filtrom pevných častíc";"2-5-tfsi-evo--294-kw-benzin--gpf-s-filtrom-pevnych-castic-5";"2.5 TFSI EVO (294 kW / Benzín) GPF s filtrom pevných častíc";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TSI EA888.3B (147 kW / Benzín) Budack Cycle";"2-0-tsi-ea888-3b--147-kw-benzin--budack-cycle-5";"2.0 TSI EA888.3B (147 kW / Benzín) Budack Cycle";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TSI EA888.3 (188 kW / Benzín)";"2-0-tsi-ea888-3--188-kw-benzin-5";"2.0 TSI EA888.3 (188 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TSI EA888.3 (185 kW / Benzín)";"2-0-tsi-ea888-3--185-kw-benzin-5";"2.0 TSI EA888.3 (185 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TSI EA888.3 (169 kW / Benzín) GPF s filtrom pevných častíc";"2-0-tsi-ea888-3--169-kw-benzin--gpf-s-filtrom-pevnych-castic-5";"2.0 TSI EA888.3 (169 kW / Benzín) GPF s filtrom pevných častíc";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TSI EA888.3 (165 kW / Benzín)";"2-0-tsi-ea888-3--165-kw-benzin-5";"2.0 TSI EA888.3 (165 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TDI CR (105 kW / Diesel)";"2-0-tdi-cr--105-kw-diesel-5";"2.0 TDI CR (105 kW / Diesel)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.5 TFSI EVO (287 kW / Benzín) GPF s filtrom pevných častíc";"2-5-tfsi-evo--287-kw-benzin--gpf-s-filtrom-pevnych-castic-5";"2.5 TFSI EVO (287 kW / Benzín) GPF s filtrom pevných častíc";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TDI CR (140 kW / Diesel)";"2-0-tdi-cr--140-kw-diesel-5";"2.0 TDI CR (140 kW / Diesel)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"1.4 TSI ACT (110 kW / Benzín)";"1-4-tsi-act--110-kw-benzin-5";"1.4 TSI ACT (110 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"2.0 TSI EA888 (132 - 155 kW / Benzín)";"2-0-tsi-ea888--132-155-kw-benzin--5";"2.0 TSI EA888 (132 - 155 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"1.6 TDI (55 - 88 kW / Diesel)";"1-6-tdi--55-88-kw-diesel--5";"1.6 TDI (55 - 88 kW / Diesel)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"1.5 TSI evo (96 - 110 kW / Benzín) GPF s filtrom pevných častíc";"1-5-tsi-evo--96-110-kw-benzin--gpf-s-filtrom-pevnych-castic-5";"1.5 TSI evo (96 - 110 kW / Benzín) GPF s filtrom pevných častíc";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"1.5 TSI evo (96 - 110 kW / Benzín)";"1-5-tsi-evo--96-110-kw-benzin--5";"1.5 TSI evo (96 - 110 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"1.4 TSI (90 - 92 kW / Benzín)";"1-4-tsi--90-92-kw-benzin--5";"1.4 TSI (90 - 92 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"1.2 TSI (66 - 81 kW / Benzín)";"1-2-tsi--66-81-kw-benzin--5";"1.2 TSI (66 - 81 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"3.2 VR6 (177 kW / Benzín)";"3-2-vr6--177-kw-benzin-5";"3.2 VR6 (177 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"1.8T 20V K04 (154 - 177 kW / Benzín)";"1-8t-20v-k04--154-177-kw-benzin--5";"1.8T 20V K04 (154 - 177 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"4.2T (331 - 353 kW / Benzín)";"4-2t--331-353-kw-benzin--5";"4.2T (331 - 353 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"4.2 TDI V8 (250 - 260 kW / Diesel)";"4-2-tdi-v8--250-260-kw-diesel--5";"4.2 TDI V8 (250 - 260 kW / Diesel)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"4.2 MPI (253 kW / Benzín)";"4-2-mpi--253-kw-benzin-5";"4.2 MPI (253 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"4.2 MPI (250 - 253 kW / Benzín)";"4-2-mpi--250-253-kw-benzin--5";"4.2 MPI (250 - 253 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"4.2 FSI (253 - 260 kW / Benzín)";"4-2-fsi--253-260-kw-benzin--5";"4.2 FSI (253 - 260 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"4.0 TFSI (463 kW / Benzín)";"4-0-tfsi--463-kw-benzin-5";"4.0 TFSI (463 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"4.0 TFSI (471 kW / Benzín) GPF s filtrom pevných častíc";"4-0-tfsi--471-kw-benzin--gpf-s-filtrom-pevnych-castic-5";"4.0 TFSI (471 kW / Benzín) GPF s filtrom pevných častíc";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"4.0 TFSI (420 kW / Benzín)";"4-0-tfsi--420-kw-benzin-5";"4.0 TFSI (420 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"4.0 TFSI (441 kW / Benzín) GPF s filtrom pevných častíc";"4-0-tfsi--441-kw-benzin--gpf-s-filtrom-pevnych-castic-5";"4.0 TFSI (441 kW / Benzín) GPF s filtrom pevných častíc";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"4.0 TFSI (373 kW / Benzín)";"4-0-tfsi--373-kw-benzin-5";"4.0 TFSI (373 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"4.0 TFSI (382 kW / Benzín)";"4-0-tfsi--382-kw-benzin-5";"4.0 TFSI (382 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"4.0 TFSI (412 - 445 kW / Benzín)";"4-0-tfsi--412-445-kw-benzin--5";"4.0 TFSI (412 - 445 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"4.0 TFSI (338 kW / Benzín)";"4-0-tfsi--338-kw-benzin-5";"4.0 TFSI (338 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"4.0 TFSI (309 - 331 kW / Benzín)";"4-0-tfsi--309-331-kw-benzin--5";"4.0 TFSI (309 - 331 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"4.0 TDI V8 (320 kW / Diesel)";"4-0-tdi-v8--320-kw-diesel-5";"4.0 TDI V8 (320 kW / Diesel)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"4.0 TDI V8 (202 kW / Diesel)";"4-0-tdi-v8--202-kw-diesel-5";"4.0 TDI V8 (202 kW / Diesel)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"4.0 Speedster (375 kW / Benzín)";"4-0-speedster--375-kw-benzin-5";"4.0 Speedster (375 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"4.0 GT3 RS H6 (368 kW / Benzín)";"4-0-gt3-rs-h6--368-kw-benzin-5";"4.0 GT3 RS H6 (368 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"4.0 GT3 RS (368 kW / Benzín)";"4-0-gt3-rs--368-kw-benzin-5";"4.0 GT3 RS (368 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"4.0 GT3 (368 kW / Benzín)";"4-0-gt3--368-kw-benzin-5";"4.0 GT3 (368 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"3.8 T Turbo S H6 (390 kW / Benzín)";"3-8-t-turbo-s-h6--390-kw-benzin-5";"3.8 T Turbo S H6 (390 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"3.8 T Turbo H6 (368 kW / Benzín)";"3-8-t-turbo-h6--368-kw-benzin-5";"3.8 T Turbo H6 (368 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"3.8 T Turbo S (412 kW / Benzín)";"3-8-t-turbo-s--412-kw-benzin-5";"3.8 T Turbo S (412 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"3.8 T Turbo S (427 kW / Benzín)";"3-8-t-turbo-s--427-kw-benzin-5";"3.8 T Turbo S (427 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"3.8 T Turbo (397 kW / Benzín)";"3-8-t-turbo--397-kw-benzin-5";"3.8 T Turbo (397 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"3.8 T Turbo (382 kW / Benzín)";"3-8-t-turbo--382-kw-benzin-5";"3.8 T Turbo (382 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"3.8 S H6 (283 kW / Benzín)";"3-8-s-h6--283-kw-benzin-5";"3.8 S H6 (283 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"3.8 T GT2 RS (515 kW / Benzín)";"3-8-t-gt2-rs--515-kw-benzin-5";"3.8 T GT2 RS (515 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"3.8 S (294 kW / Benzín)";"3-8-s--294-kw-benzin-5";"3.8 S (294 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"3.8 GTS (316 kW / Benzín)";"3-8-gts--316-kw-benzin-5";"3.8 GTS (316 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"3.8 S (261 kW / Benzín)";"3-8-s--261-kw-benzin-5";"3.8 S (261 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"3.8 GT3 RS H6 (331 kW / Benzín)";"3-8-gt3-rs-h6--331-kw-benzin-5";"3.8 GT3 RS H6 (331 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"3.8 GT3 H6 (320 kW / Benzín)";"3-8-gt3-h6--320-kw-benzin-5";"3.8 GT3 H6 (320 kW / Benzín)";"1";"0";"";"";"";"";
"IV RS NX (20- )";"Typ motoru";"3.8 GT3 (349 kW / Benzín)";"3-8-gt3--349-kw-benzin-5";"3.8 GT3 (349 kW / Benzín)";"1";"0";"";"";"";"";
